	station_id	stationname	date	daytype	rides	newDates	season	school
892625	40350	UIC-Halsted	06/10/2001	U	632	2001-06-10	Summer	On Break
729752	40350	UIC-Halsted	06/11/2001	W	2776	2001-06-11	Summer	On Break
769486	40350	UIC-Halsted	06/12/2001	W	2937	2001-06-12	Summer	On Break
153532	40350	UIC-Halsted	06/13/2001	W	2897	2001-06-13	Summer	On Break
246623	40350	UIC-Halsted	06/14/2001	W	2834	2001-06-14	Summer	On Break
929345	40350	UIC-Halsted	06/15/2001	W	2713	2001-06-15	Summer	On Break
625092	40350	UIC-Halsted	06/16/2001	A	881	2001-06-16	Summer	On Break
412727	40350	UIC-Halsted	06/17/2001	U	543	2001-06-17	Summer	On Break
970947	40350	UIC-Halsted	06/18/2001	W	2824	2001-06-18	Summer	On Break
226533	40350	UIC-Halsted	06/19/2001	W	2965	2001-06-19	Summer	On Break
458496	40350	UIC-Halsted	06/20/2001	W	2980	2001-06-20	Summer	On Break
491681	40350	UIC-Halsted	06/21/2001	W	2883	2001-06-21	Summer	On Break
651185	40350	UIC-Halsted	06/22/2001	W	2671	2001-06-22	Summer	On Break
222985	40350	UIC-Halsted	06/23/2001	A	851	2001-06-23	Summer	On Break
276531	40350	UIC-Halsted	06/24/2001	U	690	2001-06-24	Summer	On Break
225368	40350	UIC-Halsted	06/25/2001	W	2920	2001-06-25	Summer	On Break
261493	40350	UIC-Halsted	06/26/2001	W	3146	2001-06-26	Summer	On Break
766634	40350	UIC-Halsted	06/27/2001	W	3201	2001-06-27	Summer	On Break
352405	40350	UIC-Halsted	06/28/2001	W	3193	2001-06-28	Summer	On Break
376369	40350	UIC-Halsted	06/29/2001	W	3016	2001-06-29	Summer	On Break
713280	40350	UIC-Halsted	06/30/2001	A	1060	2001-06-30	Summer	On Break
602915	40350	UIC-Halsted	07/01/2001	U	773	2001-07-01	Summer	On Break
764782	40350	UIC-Halsted	07/02/2001	W	2999	2001-07-02	Summer	On Break
348712	40350	UIC-Halsted	07/03/2001	W	4093	2001-07-03	Summer	On Break
569829	40350	UIC-Halsted	07/04/2001	U	911	2001-07-04	Summer	On Break
939829	40350	UIC-Halsted	07/05/2001	W	2950	2001-07-05	Summer	On Break
940217	40350	UIC-Halsted	07/06/2001	W	3064	2001-07-06	Summer	On Break
532414	40350	UIC-Halsted	07/07/2001	A	940	2001-07-07	Summer	On Break
520610	40350	UIC-Halsted	07/08/2001	U	765	2001-07-08	Summer	On Break
885908	40350	UIC-Halsted	07/09/2001	W	3062	2001-07-09	Summer	On Break
